Company :
* Text *
* Text *

Stack- name: BC_6_Heap
Filename : Z:\DATA\BC_6_Heap_8-12-2014.CSV

First data download at: 8/14/2014
 ;Date/Time;T5;T4;T3;T2;T1; Ref mark; O2[vol%];Mode;Blower time ;Blower cycles
1;12.08.2014  14:11;   38;   40;   40;   36;   35;  100;  5,8;2;    0;    0;
2;12.08.2014  15:11;   48;   48;   48;   46;   44;  100;  6,6;2;   10;    5;
3;12.08.2014  16:11;   49;   49;   49;   47;   45;  100;  6,0;2;   20;   10;
4;12.08.2014  17:11;   50;   49;   50;   48;   46;  100;  4,4;2;   30;   15;
5;12.08.2014  18:11;   50;   49;   50;   49;   47;  100;  3,9;2;   40;   20;
6;12.08.2014  19:11;   51;   50;   50;   50;   48;  100;  3,2;2;   50;   25;
7;12.08.2014  20:11;   51;   50;   51;   50;   48;  100;  3,7;2;   60;   30;
8;12.08.2014  21:11;   52;   50;   51;   51;   49;  100;  3,2;2;   70;   35;
9;12.08.2014  22:11;   53;   51;   52;   52;   49;  100;  3,4;2;   80;   40;
10;12.08.2014  23:11;   53;   51;   52;   53;   50;  100;  3,6;2;   90;   45;
11;12.08.2014  23:59;   54;   51;   53;   53;   50;  100;  3,6;2;   98;   49;
12;13.08.2014  00:11;   54;   51;   53;   54;   50;  100;  3,5;2;    1;    1;
13;13.08.2014  01:11;   55;   52;   53;   54;   51;  100;  3,5;2;   11;    6;
14;13.08.2014  02:11;   56;   52;   54;   55;   51;   94;  3,6;2;   21;   11;
15;13.08.2014  03:11;   57;   53;   54;   56;   52;   88;  4,3;2;   31;   16;
16;13.08.2014  04:11;   58;   53;   55;   57;   53;   85;  4,3;2;   42;   21;
17;13.08.2014  05:11;   59;   54;   55;   57;   53;   80;  4,2;2;   52;   26;
18;13.08.2014  06:11;   60;   54;   56;   58;   54;   79;  3,8;2;   62;   31;
19;13.08.2014  07:11;   62;   55;   56;   59;   54;   75;  3,6;2;   72;   36;
20;13.08.2014  08:11;   63;   56;   57;   60;   55;    0;  3,4;2;   82;   41;
