Company :
* Text *
* Text *

Stack- name: BC_8_Heap
Filename : Z:\DATA\BC_8_Heap_11-12-2014.CSV

First data download at: 11/14/2014
 ;Date/Time;T5;T4;T3;T2;T1; Ref mark; O2[vol%];Mode;Blower time ;Blower cycles
1;12.11.2014  14:24;   24;   31;   35;   40;   34;  100;  0,0;2;    0;    0;
2;12.11.2014  15:24;   26;   36;   41;   45;   42;  100;  0,0;2;   10;    5;
3;12.11.2014  16:24;   28;   37;   43;   46;   43;  100;  0,0;2;   20;   10;
4;12.11.2014  17:24;   29;   39;   45;   47;   44;  100;  0,0;2;   30;   15;
5;12.11.2014  18:24;   31;   40;   46;   48;   44;  100;  0,0;2;   41;   20;
6;12.11.2014  19:24;   33;   42;   47;   48;   44;  100;  0,0;2;   51;   25;
7;12.11.2014  20:24;   35;   43;   49;   49;   45;  100;  0,0;2;   61;   30;
8;12.11.2014  21:24;   38;   45;   50;   49;   45;  100;  0,0;2;   71;   35;
9;12.11.2014  22:24;   40;   46;   51;   49;   45;  100;  0,0;2;   81;   40;
10;12.11.2014  23:24;   42;   48;   53;   50;   45;  100;  0,0;2;   91;   45;
11;12.11.2014  23:59;   43;   49;   54;   50;   45;  100;  0,0;2;   96;   48;
12;13.11.2014  00:24;   44;   49;   54;   50;   46;  100;  0,0;2;    4;    2;
13;13.11.2014  01:24;   46;   51;   56;   51;   46;  100;  0,0;2;   14;    7;
14;13.11.2014  02:24;   47;   52;   58;   52;   47;  100;  0,0;2;   24;   12;
15;13.11.2014  03:24;   48;   53;   59;   53;   47;  100;  0,0;2;   34;   17;
16;13.11.2014  04:24;   49;   54;   61;   54;   48;  100;  0,0;2;   44;   22;
17;13.11.2014  05:24;   50;   56;   63;   55;   49;  100;  0,0;2;   54;   27;
18;13.11.2014  06:24;   51;   57;   64;   57;   50;  100;  0,0;2;   64;   32;
19;13.11.2014  07:24;   53;   58;   65;   58;   51;  100;  0,0;2;   74;   37;
20;13.11.2014  08:24;   54;   60;   67;   60;   52;  100;  0,0;2;   84;   42;
21;13.11.2014  09:24;   55;   61;   68;   62;   53;  100;  0,0;2;   95;   48;
22;13.11.2014  13:03;   32;   42;   43;   35;   28;  100; 20,1;2;   99;   50;
23;13.11.2014  14:03;   64;   66;   70;   68;   59;    0;  3,3;2;  109;   55;
24;13.11.2014  15:03;   65;   67;   70;   69;   62;    0;  0,0;2;  119;   60;
25;13.11.2014  16:03;   66;   68;   70;   70;   65;    0;  0,0;2;  129;   65;
26;13.11.2014  17:03;   67;   69;   71;   71;   68;    0;  0,0;2;  139;   70;
27;13.11.2014  18:03;   68;   70;   71;   71;   69;    0;  0,0;2;  149;   75;
28;13.11.2014  19:03;   69;   71;   71;   72;   70;    0;  0,3;2;  159;   80;
29;13.11.2014  20:03;   70;   72;   72;   72;   71;    0;  1,2;2;  169;   85;
30;13.11.2014  21:03;   71;   73;   73;   73;   72;    0;  1,6;2;  179;   90;
31;13.11.2014  22:03;   72;   73;   74;   73;   73;    0;  2,0;2;  189;   95;
32;13.11.2014  23:03;   72;   74;   74;   74;   73;    0;  1,9;2;  199;  100;
33;13.11.2014  23:59;   73;   75;   75;   74;   74;    0;  4,1;2;  209;  105;
34;14.11.2014  00:03;   73;   75;   75;   74;   74;    0;  1,7;2;    0;    0;
35;14.11.2014  01:03;   73;   75;   76;   75;   75;    0;  1,5;2;   10;    5;
36;14.11.2014  02:03;   74;   76;   77;   76;   76;    0;  1,2;2;   20;   10;
37;14.11.2014  03:03;   74;   76;   77;   76;   76;    0;  1,0;2;   30;   15;
38;14.11.2014  04:03;   74;   77;   78;   77;   77;    0;  0,9;2;   40;   20;
39;14.11.2014  05:03;   75;   77;   79;   78;   78;    0;  0,7;2;   50;   25;
40;14.11.2014  06:03;   75;   77;   79;   79;   79;    0;  0,6;2;   60;   30;
41;14.11.2014  07:03;   75;   78;   80;   79;   79;    0;  0,5;2;   70;   35;
42;14.11.2014  08:03;   75;   78;   80;   80;   80;    0;  0,4;2;   80;   40;
43;14.11.2014  09:03;   75;   78;   80;   80;   80;    0;  0,4;2;   90;   45;
44;14.11.2014  10:03;   75;   78;   80;   80;   80;    0;  0,4;2;  100;   50;
45;14.11.2014  11:03;   75;   78;   81;   81;   81;    0;  0,5;2;  110;   55;
46;14.11.2014  12:03;   76;   78;   81;   81;   81;    0;  0,5;2;  120;   60;
47;14.11.2014  13:03;   75;   78;   81;   81;   81;    0;  0,6;2;  130;   65;
48;14.11.2014  14:03;   75;   78;   81;   81;   81;    0;  0,8;2;  140;   70;
49;14.11.2014  15:03;   75;   78;   81;   81;   81;    0;  0,9;2;  150;   75;
50;14.11.2014  16:03;   75;   78;   81;   81;   81;    0;  1,0;2;  160;   80;
51;14.11.2014  17:03;   75;   78;   81;   81;   81;    0;  1,1;2;  170;   85;
52;14.11.2014  18:03;   75;   78;   81;   81;   81;    0;  1,3;2;  180;   90;
53;14.11.2014  19:03;   75;   78;   81;   81;   81;    0;  1,5;2;  190;   95;
54;14.11.2014  20:03;   75;   78;   81;   81;   81;    0;  1,7;2;  200;  100;
55;14.11.2014  21:03;   75;   78;   81;   81;   81;    0;  1,8;2;  210;  105;
56;14.11.2014  22:03;   75;   78;   81;   81;   81;    0;  2,0;2;  220;  110;
57;14.11.2014  23:03;   75;   78;   81;   81;   81;    0;  2,1;2;  230;  115;
58;14.11.2014  23:59;   75;   78;   80;   81;   81;    0;  3,5;2;  240;  120;
59;15.11.2014  00:03;   75;   78;   80;   81;   81;    0;  2,3;2;    0;    0;
60;15.11.2014  01:03;   75;   78;   80;   81;   81;    0;  2,4;2;   10;    5;
61;15.11.2014  02:03;   75;   78;   80;   81;   81;    0;  2,4;2;   20;   10;
62;15.11.2014  03:03;   75;   78;   80;   81;   81;    0;  2,5;2;   30;   15;
63;15.11.2014  04:03;   75;   78;   80;   81;   80;    0;  2,6;2;   40;   20;
64;15.11.2014  05:03;   75;   78;   80;   81;   80;    0;  2,7;2;   50;   25;
65;15.11.2014  06:03;   75;   78;   80;   81;   80;    0;  2,8;2;   60;   30;
66;15.11.2014  07:03;   75;   78;   80;   81;   80;    0;  2,9;2;   70;   35;
67;15.11.2014  08:03;   75;   78;   80;   81;   80;    0;  3,0;2;   80;   40;
68;15.11.2014  09:03;   75;   78;   80;   81;   80;    0;  3,0;2;   90;   45;
69;15.11.2014  10:03;   75;   78;   80;   81;   80;    0;  3,0;2;  100;   50;
70;15.11.2014  11:03;   75;   78;   80;   80;   80;    0;  3,0;2;  110;   55;
71;15.11.2014  12:03;   75;   78;   80;   80;   80;    0;  3,1;2;  120;   60;
72;15.11.2014  13:03;   75;   78;   80;   80;   80;    0;  3,1;2;  130;   65;
