Company :
* Text *
* Text *

Stack- name: BC_5_Heap
Filename : Z:\DATA\BC_5_Heap_7-2-2014.CSV

First data download at: 7/9/2014
 ;Date/Time;T5;T4;T3;T2;T1; Ref mark; O2[vol%];Mode;Blower time ;Blower cycles
1;02.07.2014  14:59;   45;   45;   50;   44;   41;  100;  3,1;2;    1;    0;
2;02.07.2014  15:59;   59;   55;   62;   56;   53;   75;  3,1;2;   11;    5;
3;02.07.2014  16:59;   60;   57;   64;   58;   54;    6;  3,1;2;   21;   10;
4;02.07.2014  17:59;   61;   58;   65;   60;   54;    4;  3,1;2;   31;   15;
5;02.07.2014  18:59;   62;   60;   67;   62;   55;    0;  3,1;2;   41;   20;
6;02.07.2014  19:59;   63;   61;   69;   64;   55;    0;  3,1;2;   51;   25;
7;02.07.2014  20:59;   65;   62;   70;   66;   56;    0;  3,1;2;   61;   30;
8;02.07.2014  21:59;   66;   64;   71;   67;   57;    0;  3,1;2;   71;   35;
9;02.07.2014  22:59;   67;   65;   72;   69;   59;    0;  3,1;2;   81;   40;
10;02.07.2014  23:59;   69;   66;   73;   70;   61;    0;  3,1;2;   91;   45;
11;03.07.2014  00:59;   70;   68;   73;   72;   64;    0;  3,1;2;    9;    4;
12;03.07.2014  01:59;   71;   69;   74;   73;   68;    0;  3,1;2;   19;    9;
13;03.07.2014  02:59;   72;   70;   75;   74;   70;    0;  3,1;2;   29;   14;
14;03.07.2014  03:59;   73;   71;   76;   75;   72;    0;  3,1;2;   39;   19;
15;03.07.2014  04:59;   74;   72;   76;   76;   73;    0;  3,1;2;   49;   24;
16;03.07.2014  05:59;   75;   73;   77;   77;   74;    0;  3,1;2;   59;   29;
17;03.07.2014  06:59;   75;   74;   78;   78;   76;    0;  3,1;2;   69;   34;
18;03.07.2014  07:59;   75;   75;   78;   78;   77;    0;  3,1;2;   79;   39;
19;03.07.2014  08:59;   38;   38;   40;   37;   32;  100;  3,1;2;   89;   44;
20;03.07.2014  09:59;   35;   34;   35;   34;   31;  100;  3,1;2;   99;   49;
21;03.07.2014  10:59;   36;   35;   36;   35;   32;  100;  3,1;2;  109;   54;
22;03.07.2014  11:59;   31;   31;   31;   31;   30;  100;  3,1;2;  119;   59;
23;03.07.2014  12:59;   72;   75;   77;   78;   72;    0;  3,1;2;  129;   64;
24;03.07.2014  13:59;   72;   75;   78;   79;   74;    0;  3,1;2;  139;   69;
25;03.07.2014  14:59;   72;   75;   78;   79;   75;    0;  3,1;2;  149;   74;
26;03.07.2014  15:59;   72;   75;   78;   80;   76;    0;  3,1;2;  159;   79;
27;03.07.2014  16:59;   72;   75;   78;   80;   77;    0;  3,1;2;  169;   84;
28;03.07.2014  17:59;   72;   75;   78;   80;   78;    0;  3,1;2;  179;   89;
29;03.07.2014  18:59;   72;   75;   78;   80;   78;    0;  3,1;2;  189;   94;
30;03.07.2014  19:59;   72;   75;   78;   80;   79;    0;  3,1;2;  199;   99;
31;03.07.2014  20:59;   72;   75;   78;   80;   77;    0;  3,1;2;  209;  104;
32;03.07.2014  21:59;   72;   75;   77;   80;   78;    0;  3,1;2;  219;  109;
33;03.07.2014  22:59;   72;   75;   77;   80;   79;    0;  3,1;2;  229;  114;
34;03.07.2014  23:59;   72;   75;   77;   80;   79;    0;  3,1;2;  239;  119;
35;04.07.2014  00:59;   72;   75;   77;   80;   80;    0;  3,1;2;    9;    4;
36;04.07.2014  01:59;   72;   75;   77;   80;   80;    0;  3,1;2;   19;    9;
37;04.07.2014  02:59;   72;   75;   77;   80;   80;    0;  3,1;2;   29;   14;
38;04.07.2014  03:59;   72;   75;   77;   80;   80;    0;  3,1;2;   39;   19;
39;04.07.2014  04:59;   72;   75;   77;   80;   80;    0;  3,1;2;   49;   24;
40;04.07.2014  05:59;   73;   75;   77;   80;   80;    0;  3,1;2;   59;   29;
41;04.07.2014  06:59;   73;   75;   77;   80;   80;    0;  3,1;2;   69;   34;
42;04.07.2014  07:59;   73;   75;   77;   80;   80;    0;  3,1;2;   79;   39;
43;04.07.2014  08:59;   73;   75;   77;   80;   80;    0;  3,1;2;   89;   44;
44;04.07.2014  09:59;   73;   75;   78;   80;   80;    0;  3,1;2;   99;   49;
45;04.07.2014  10:59;   73;   75;   78;   80;   80;    0;  3,1;2;  109;   54;
46;04.07.2014  11:59;   73;   75;   78;   80;   80;    0;  3,1;2;  119;   59;
47;04.07.2014  12:59;   73;   75;   78;   80;   80;    0;  3,1;2;  129;   64;
48;04.07.2014  13:59;   73;   75;   78;   80;   79;    0;  3,1;2;  139;   69;
49;04.07.2014  14:59;   73;   75;   78;   80;   79;    0;  3,1;2;  149;   74;
50;04.07.2014  15:59;   73;   75;   78;   80;   79;    0;  3,1;2;  159;   79;
51;04.07.2014  16:59;   73;   75;   78;   80;   79;    0;  3,1;2;  169;   84;
52;04.07.2014  17:59;   73;   75;   78;   80;   79;    0;  3,1;2;  179;   89;
53;04.07.2014  18:59;   73;   75;   78;   80;   80;    0;  3,1;2;  189;   94;
54;04.07.2014  19:59;   73;   75;   78;   80;   80;    0;  3,1;2;  199;   99;
55;04.07.2014  20:59;   73;   75;   78;   80;   80;    0;  3,1;2;  209;  104;
56;04.07.2014  21:59;   73;   75;   78;   80;   80;    0;  3,1;2;  219;  109;
57;04.07.2014  22:59;   73;   75;   78;   80;   80;    0;  3,1;2;  229;  114;
58;04.07.2014  23:59;   73;   75;   78;   80;   80;    0;  3,1;2;  239;  119;
59;05.07.2014  00:59;   73;   75;   78;   80;   80;    0;  3,1;2;    9;    4;
60;05.07.2014  01:59;   73;   76;   78;   80;   80;    0;  3,1;2;   19;    9;
61;05.07.2014  02:59;   73;   76;   78;   80;   79;    0;  3,1;2;   29;   14;
62;05.07.2014  03:59;   73;   76;   78;   80;   79;    0;  3,1;2;   39;   19;
63;05.07.2014  04:59;   73;   76;   78;   80;   79;    0;  3,1;2;   49;   24;
64;05.07.2014  05:59;   73;   76;   78;   80;   79;    0;  3,1;2;   59;   29;
65;05.07.2014  06:59;   73;   76;   78;   80;   79;    0;  3,1;2;   69;   34;
66;05.07.2014  07:59;   73;   76;   78;   80;   79;    0;  3,1;2;   79;   39;
67;05.07.2014  08:59;   73;   76;   78;   80;   79;    0;  3,1;2;   89;   44;
68;05.07.2014  09:59;   73;   76;   78;   80;   79;    0;  3,1;2;   99;   49;
69;05.07.2014  10:59;   73;   76;   78;   80;   80;    0;  3,1;2;  109;   54;
70;05.07.2014  11:59;   73;   76;   78;   80;   80;    0;  3,1;2;  119;   59;
71;05.07.2014  12:59;   73;   76;   78;   80;   80;    0;  3,1;2;  130;   65;
72;05.07.2014  13:59;   73;   76;   78;   80;   80;    0;  3,1;2;  140;   70;
73;05.07.2014  14:59;   73;   76;   78;   80;   80;    0;  3,1;2;  150;   75;
74;05.07.2014  15:59;   73;   76;   78;   80;   79;    0;  3,1;2;  160;   80;
75;05.07.2014  16:59;   73;   76;   78;   80;   79;    0;  3,1;2;  170;   85;
76;05.07.2014  17:59;   73;   76;   78;   80;   79;    0;  3,1;2;  180;   90;
77;05.07.2014  18:59;   73;   76;   78;   80;   79;    0;  3,1;2;  190;   95;
78;05.07.2014  19:59;   73;   76;   78;   80;   79;    0;  3,1;2;  200;  100;
79;05.07.2014  20:59;   73;   76;   78;   80;   79;    0;  3,1;2;  210;  105;
80;05.07.2014  21:59;   73;   76;   78;   80;   79;    0;  3,1;2;  220;  110;
81;05.07.2014  22:59;   73;   76;   78;   80;   79;    0;  3,1;2;  230;  115;
82;05.07.2014  23:59;   73;   76;   78;   80;   79;    0;  3,1;2;  240;  120;
83;06.07.2014  00:59;   73;   76;   78;   80;   79;    0;  3,1;2;   10;    5;
84;06.07.2014  01:59;   73;   76;   78;   80;   79;    0;  3,1;2;   20;   10;
85;06.07.2014  02:59;   73;   76;   78;   80;   79;    0;  3,1;2;   30;   15;
86;06.07.2014  03:59;   73;   76;   78;   80;   79;    0;  3,1;2;   40;   20;
87;06.07.2014  04:59;   73;   76;   78;   80;   79;    0;  3,1;2;   50;   25;
88;06.07.2014  05:59;   73;   76;   78;   80;   79;    0;  3,1;2;   60;   30;
89;06.07.2014  06:59;   72;   76;   78;   80;   79;    0;  3,1;2;   70;   35;
90;06.07.2014  07:59;   72;   76;   78;   80;   79;    0;  3,1;2;   80;   40;
91;06.07.2014  08:59;   72;   76;   78;   80;   79;    0;  3,1;2;   90;   45;
92;06.07.2014  09:59;   72;   76;   78;   80;   79;    0;  3,1;2;  100;   50;
93;06.07.2014  10:59;   72;   76;   78;   80;   80;    0;  3,1;2;  110;   55;
94;06.07.2014  11:59;   72;   76;   78;   80;   80;    0;  3,1;2;  120;   60;
95;06.07.2014  12:59;   72;   76;   78;   80;   80;    0;  3,1;2;  130;   65;
96;06.07.2014  13:59;   72;   76;   78;   80;   80;    0;  3,1;2;  140;   70;
97;06.07.2014  14:59;   72;   76;   78;   80;   79;    0;  3,1;2;  150;   75;
98;06.07.2014  15:59;   72;   76;   78;   80;   79;    0;  3,1;2;  160;   80;
99;06.07.2014  16:59;   72;   76;   78;   80;   79;    0;  3,1;2;  170;   85;
100;06.07.2014  17:59;   71;   76;   78;   80;   79;    0;  3,1;2;  180;   90;
101;06.07.2014  18:59;   71;   76;   78;   80;   79;    0;  3,1;2;  190;   95;
102;06.07.2014  19:59;   71;   76;   78;   80;   79;    0;  3,1;2;  200;  100;
103;06.07.2014  20:59;   71;   75;   78;   80;   79;    0;  3,1;2;  210;  105;
104;06.07.2014  21:59;   71;   75;   78;   80;   79;    0;  3,1;2;  220;  110;
105;06.07.2014  22:59;   71;   75;   78;   80;   79;    0;  3,1;2;  230;  115;
106;06.07.2014  23:59;   70;   75;   78;   80;   79;    0;  3,1;2;  240;  120;
107;07.07.2014  00:59;   70;   75;   78;   80;   79;    0;  3,1;2;   10;    5;
108;07.07.2014  01:59;   70;   75;   77;   80;   79;    0;  3,1;2;   20;   10;
109;07.07.2014  02:59;   70;   75;   77;   80;   79;    0;  3,1;2;   30;   15;
110;07.07.2014  03:59;   70;   75;   77;   79;   79;    0;  3,1;2;   40;   20;
111;07.07.2014  04:59;   70;   75;   77;   79;   79;    0;  3,1;2;   50;   25;
112;07.07.2014  05:59;   70;   75;   77;   79;   79;    0;  3,1;2;   60;   30;
113;07.07.2014  06:59;   69;   75;   77;   79;   79;    0;  3,1;2;   70;   35;
114;07.07.2014  07:59;   69;   74;   77;   79;   79;    0;  3,1;2;   80;   40;
115;07.07.2014  08:59;   34;   35;   36;   34;   30;  100;  3,1;2;   90;   45;
116;07.07.2014  09:59;   37;   38;   39;   36;   30;  100;  3,1;2;  100;   50;
117;07.07.2014  10:59;   38;   38;   38;   36;   31;  100;  3,1;2;  110;   55;
118;07.07.2014  11:59;   30;   31;   31;   31;   30;  100;  3,1;2;  120;   60;
119;07.07.2014  12:59;   30;   31;   31;   31;   31;  100;  3,1;2;  130;   65;
120;07.07.2014  13:59;   31;   32;   32;   32;   32;  100;  3,1;2;  140;   70;
121;07.07.2014  14:59;   31;   32;   33;   33;   32;  100;  3,1;2;  150;   75;
122;07.07.2014  15:59;   59;   40;   38;   33;   31;   94;  3,1;2;  160;   80;
123;07.07.2014  16:59;   61;   42;   39;   34;   32;   92;  3,1;2;  170;   85;
124;07.07.2014  17:59;   62;   44;   41;   36;   34;   90;  3,1;2;  180;   90;
125;07.07.2014  18:59;   64;   46;   43;   38;   36;   87;  3,1;2;  190;   95;
126;07.07.2014  19:59;   65;   48;   44;   40;   37;   85;  3,1;2;  200;  100;
127;07.07.2014  20:59;   66;   50;   46;   42;   39;   82;  3,1;2;  210;  105;
128;07.07.2014  21:59;   67;   52;   48;   43;   40;   80;  3,1;2;  220;  110;
129;07.07.2014  22:59;   67;   54;   50;   45;   42;   77;  3,1;2;  230;  115;
130;07.07.2014  23:59;   68;   57;   51;   46;   44;   67;  3,1;2;  240;  120;
131;08.07.2014  00:59;   69;   59;   53;   48;   45;   58;  3,1;2;   10;    5;
132;08.07.2014  01:59;   69;   61;   55;   49;   46;   50;  3,1;2;   20;   10;
133;08.07.2014  02:59;   70;   63;   57;   50;   47;   43;  3,1;2;   30;   15;
134;08.07.2014  03:59;   70;   64;   59;   51;   48;   37;  3,1;2;   40;   20;
135;08.07.2014  04:59;   71;   66;   61;   52;   48;   33;  3,1;2;   50;   25;
136;08.07.2014  05:59;   71;   67;   63;   53;   48;   30;  3,1;2;   60;   30;
137;08.07.2014  06:59;   72;   69;   65;   55;   49;   25;  3,1;2;   70;   35;
138;08.07.2014  07:59;   72;   70;   67;   56;   49;   21;  3,1;2;   80;   40;
139;08.07.2014  08:59;   72;   71;   69;   57;   49;   19;  3,1;2;   90;   45;
140;08.07.2014  09:59;   72;   72;   70;   59;   50;   14;  3,1;2;  100;   50;
141;08.07.2014  10:59;   72;   73;   71;   60;   50;   12;  3,1;2;  110;   55;
142;08.07.2014  11:59;   72;   74;   72;   61;   51;   10;  3,1;2;  120;   60;
143;08.07.2014  12:59;   72;   74;   73;   63;   51;    8;  3,1;2;  130;   65;
144;08.07.2014  13:59;   72;   75;   74;   64;   52;    6;  3,1;2;  140;   70;
145;08.07.2014  14:59;   72;   75;   75;   65;   52;    5;  3,1;2;  150;   75;
146;08.07.2014  15:59;   72;   75;   76;   67;   53;    3;  3,1;2;  160;   80;
147;08.07.2014  16:59;   72;   75;   77;   68;   54;    1;  3,1;2;  170;   85;
148;08.07.2014  17:59;   72;   76;   77;   70;   55;    0;  3,1;2;  180;   90;
149;08.07.2014  18:59;   72;   76;   78;   71;   56;    0;  3,1;2;  190;   95;
150;08.07.2014  19:59;   72;   76;   79;   73;   57;    0;  3,1;2;  200;  100;
151;08.07.2014  20:59;   71;   76;   79;   74;   58;    0;  3,1;2;  210;  105;
152;08.07.2014  21:59;   71;   76;   80;   75;   60;    0;  3,1;2;  220;  110;
153;08.07.2014  22:59;   71;   76;   79;   77;   71;    0;  3,1;2;  230;  115;
154;08.07.2014  23:59;   70;   75;   79;   78;   73;    0;  3,1;2;  240;  120;
155;09.07.2014  00:59;   70;   75;   80;   78;   73;    0;  3,1;2;   10;    5;
156;09.07.2014  01:59;   70;   75;   80;   78;   74;    0;  3,1;2;   20;   10;
157;09.07.2014  02:59;   70;   75;   80;   78;   75;    0;  3,1;2;   30;   15;
158;09.07.2014  03:59;   69;   75;   80;   79;   75;    0;  3,1;2;   40;   20;
159;09.07.2014  04:59;   69;   75;   80;   79;   75;    0;  3,1;2;   50;   25;
160;09.07.2014  05:59;   69;   74;   79;   79;   76;    0;  3,1;2;   60;   30;
161;09.07.2014  06:59;   69;   74;   79;   79;   76;    0;  3,1;2;   70;   35;
162;09.07.2014  07:59;   68;   74;   79;   79;   76;    0;  3,1;2;   80;   40;
163;09.07.2014  08:59;   68;   74;   79;   79;   76;    0;  3,1;2;   90;   45;
164;09.07.2014  09:59;   68;   74;   79;   79;   76;    0;  3,1;2;  100;   50;
165;09.07.2014  10:59;   68;   74;   79;   79;   76;    0;  3,1;2;  110;   55;
166;09.07.2014  11:59;   67;   74;   79;   79;   77;    0;  3,1;2;  120;   60;
167;09.07.2014  12:59;   67;   73;   79;   79;   77;    0;  3,1;2;  130;   65;
