Company :
* Text *
* Text *

Stack- name: BC_10_HEAP
Filename : Z:\DATA\BC_10_HEAP_3-3-2015.CSV

First data download at: 3/10/2015
 ;Date/Time;T5;T4;T3;T2;T1; Ref mark; O2[vol%];Mode;Blower time ;Blower cycles
1;03.03.2015  14:05;    9;   15;   22;   19;    0;  100; 21,1;2;    0;    0;
2;03.03.2015  15:05;    9;   15;   23;   20;    0;  100; 21,1;2;   10;    5;
3;03.03.2015  16:05;   10;   16;   24;   20;    1;  100; 21,1;2;   20;   10;
4;03.03.2015  17:05;   10;   17;   25;   21;    1;  100; 21,1;2;   30;   15;
5;03.03.2015  18:05;   11;   18;   26;   22;    1;  100; 21,1;2;   40;   20;
6;03.03.2015  19:05;   11;   19;   27;   23;    2;  100; 21,1;2;   50;   25;
7;03.03.2015  20:05;   12;   20;   28;   25;    2;  100; 21,1;2;   60;   30;
8;03.03.2015  21:05;   13;   21;   30;   26;    3;  100; 21,1;2;   70;   35;
9;03.03.2015  22:05;   13;   22;   31;   27;    3;  100; 21,1;2;   80;   40;
10;03.03.2015  23:05;   14;   23;   32;   28;    4;  100; 21,1;2;   90;   45;
11;03.03.2015  23:59;   15;   25;   34;   29;    4;  100; 21,1;2;   98;   49;
12;04.03.2015  00:05;   15;   25;   34;   30;    4;  100; 21,1;2;    1;    1;
13;04.03.2015  01:05;   16;   26;   35;   31;    5;  100; 21,1;2;   11;    6;
14;04.03.2015  02:05;   17;   27;   37;   32;    5;  100; 21,1;2;   21;   11;
15;04.03.2015  03:05;   18;   29;   38;   33;    6;  100; 21,1;2;   31;   16;
16;04.03.2015  04:05;   19;   30;   39;   35;    7;  100; 21,1;2;   41;   21;
17;04.03.2015  05:05;   20;   31;   41;   36;    8;  100; 21,1;2;   51;   26;
18;04.03.2015  06:05;   21;   33;   42;   37;    9;  100; 21,1;2;   61;   31;
19;04.03.2015  07:05;   22;   34;   43;   39;   10;  100; 21,1;2;   71;   36;
20;04.03.2015  08:05;   23;   35;   44;   40;   11;  100; 21,1;2;   81;   41;
21;04.03.2015  09:05;   24;   36;   44;   41;   12;  100; 21,1;2;   91;   46;
22;04.03.2015  10:05;   25;   38;   45;   42;   14;  100; 21,1;2;  101;   51;
23;04.03.2015  11:05;   26;   39;   46;   43;   15;  100; 21,1;2;  111;   56;
24;04.03.2015  12:05;   28;   40;   47;   44;   16;  100; 21,1;2;  121;   61;
25;04.03.2015  13:05;   29;   41;   47;   45;   17;  100; 21,1;2;  131;   66;
26;04.03.2015  14:52;   30;   41;   48;   45;   19;  100; 12,7;2;  131;   66;
27;04.03.2015  15:52;   30;   42;   48;   46;   20;  100; 12,7;2;  141;   71;
28;04.03.2015  16:52;   31;   43;   48;   46;   22;  100; 12,7;2;  151;   76;
29;04.03.2015  17:52;   32;   44;   48;   47;   23;  100; 12,7;2;  161;   81;
30;04.03.2015  18:52;   33;   44;   48;   48;   25;  100; 12,7;2;  171;   86;
31;04.03.2015  19:52;   35;   45;   49;   48;   26;  100; 12,7;2;  181;   91;
32;04.03.2015  20:52;   36;   46;   49;   49;   27;  100; 12,7;2;  191;   96;
33;04.03.2015  21:52;   37;   46;   49;   50;   28;  100; 12,7;2;  201;  101;
34;04.03.2015  22:52;   38;   47;   50;   50;   30;  100; 12,7;2;  211;  106;
35;04.03.2015  23:52;   39;   47;   50;   51;   31;  100; 12,7;2;  221;  111;
36;04.03.2015  23:59;   39;   47;   50;   51;   31;  100; 12,7;2;  223;  112;
37;05.03.2015  00:52;   40;   48;   50;   51;   32;  100; 12,7;2;    8;    4;
38;05.03.2015  01:52;   40;   48;   50;   52;   34;  100; 12,7;2;   18;    9;
39;05.03.2015  02:52;   41;   48;   50;   52;   35;  100; 12,7;2;   28;   14;
40;05.03.2015  03:52;   42;   48;   51;   53;   36;  100; 12,7;2;   38;   19;
41;05.03.2015  04:52;   43;   49;   51;   53;   37;  100; 12,7;2;   48;   24;
42;05.03.2015  05:52;   44;   49;   51;   54;   39;  100; 12,7;2;   58;   29;
43;05.03.2015  06:52;   44;   49;   51;   54;   40;  100; 12,7;2;   68;   34;
44;05.03.2015  10:32;   10;   17;   14;    8;    0;  100; 21,1;2;   78;   39;
45;05.03.2015  11:32;   44;   48;   48;   35;    2;  100; 21,1;2;   88;   44;
46;05.03.2015  12:32;   44;   48;   49;   37;    3;  100; 21,1;2;   98;   49;
47;05.03.2015  13:32;   45;   48;   49;   38;    4;  100; 21,1;2;  108;   54;
48;05.03.2015  14:32;   45;   49;   50;   40;    5;  100; 21,1;2;  118;   59;
49;05.03.2015  15:32;   46;   49;   50;   41;    7;  100; 21,1;2;  128;   64;
50;05.03.2015  16:32;   46;   49;   50;   42;    7;  100; 21,1;2;  138;   69;
51;05.03.2015  17:32;   47;   49;   50;   43;    9;  100; 21,1;2;  148;   74;
52;05.03.2015  18:32;   47;   49;   51;   44;   10;  100; 21,1;2;  158;   79;
53;05.03.2015  19:32;   48;   49;   51;   45;   11;  100; 21,1;2;  168;   84;
54;05.03.2015  20:32;   48;   50;   51;   45;   12;  100; 21,1;2;  178;   89;
55;05.03.2015  21:32;   49;   50;   52;   46;   14;  100; 21,1;2;  188;   94;
56;05.03.2015  22:32;   49;   50;   52;   46;   15;  100; 21,1;2;  198;   99;
57;05.03.2015  23:32;   50;   50;   52;   47;   16;  100; 21,1;2;  208;  104;
58;05.03.2015  23:59;   50;   50;   52;   47;   17;  100; 21,1;2;  214;  107;
59;06.03.2015  00:32;   50;   50;   53;   47;   18;  100; 21,1;2;    4;    2;
60;06.03.2015  01:32;   50;   50;   53;   48;   19;  100; 21,1;2;   14;    7;
61;06.03.2015  02:32;   51;   51;   53;   48;   21;  100; 21,1;2;   24;   12;
62;06.03.2015  03:32;   51;   51;   53;   48;   23;  100; 21,1;2;   34;   17;
63;06.03.2015  04:32;   52;   51;   54;   49;   25;  100; 21,1;2;   44;   22;
64;06.03.2015  05:32;   52;   51;   54;   49;   26;  100; 21,1;2;   54;   27;
65;06.03.2015  06:32;   53;   52;   54;   50;   28;  100; 21,1;2;   64;   32;
66;06.03.2015  07:32;   53;   52;   55;   50;   30;  100; 21,1;2;   74;   37;
67;06.03.2015  08:32;   54;   52;   55;   51;   31;  100; 21,1;2;   84;   42;
68;06.03.2015  09:32;   55;   52;   55;   51;   32;  100; 21,1;2;   94;   47;
69;06.03.2015  10:32;   55;   53;   55;   52;   34;  100; 21,1;2;  104;   52;
70;06.03.2015  11:32;   55;   53;   56;   52;   35;  100; 21,1;2;  114;   57;
71;06.03.2015  12:32;   56;   53;   56;   53;   36;   92; 21,1;2;  124;   62;
72;06.03.2015  13:32;   56;   54;   56;   53;   37;   88; 21,1;2;  134;   67;
73;06.03.2015  14:32;   57;   54;   57;   54;   38;   84; 21,1;2;  144;   72;
74;06.03.2015  15:32;   57;   54;   57;   54;   39;   84; 21,1;2;  154;   77;
75;06.03.2015  16:32;   58;   55;   58;   55;   40;   75; 21,1;2;  164;   82;
76;06.03.2015  17:32;   58;   55;   58;   55;   41;   75; 21,1;2;  174;   87;
77;06.03.2015  18:32;   59;   55;   59;   56;   42;   75; 21,1;2;  184;   92;
78;06.03.2015  19:32;   59;   56;   59;   56;   43;   23; 21,1;2;  194;   97;
79;06.03.2015  20:32;   59;   56;   59;   57;   44;   21; 21,1;2;  204;  102;
80;06.03.2015  21:32;   60;   57;   60;   57;   45;   21; 21,1;2;  214;  107;
81;06.03.2015  22:32;   60;   57;   60;   58;   45;   19; 21,1;2;  224;  112;
82;06.03.2015  23:32;   60;   57;   61;   58;   46;   18; 21,1;2;  234;  117;
83;06.03.2015  23:59;   60;   58;   61;   58;   46;   18; 21,1;2;  240;  120;
84;07.03.2015  00:32;   61;   58;   61;   59;   47;   16; 21,1;2;    4;    2;
85;07.03.2015  01:32;   61;   58;   62;   59;   48;   16; 21,1;2;   14;    7;
86;07.03.2015  02:32;   61;   59;   62;   60;   48;   14; 21,1;2;   24;   12;
87;07.03.2015  03:32;   61;   59;   63;   60;   49;   13; 21,1;2;   34;   17;
88;07.03.2015  04:32;   61;   59;   63;   61;   50;   11; 21,1;2;   44;   22;
89;07.03.2015  05:32;   62;   60;   64;   61;   50;   11; 21,1;2;   54;   27;
90;07.03.2015  06:32;   62;   60;   64;   62;   51;    9; 21,1;2;   64;   32;
91;07.03.2015  07:32;   62;   60;   64;   62;   51;    9; 21,1;2;   74;   37;
92;07.03.2015  08:32;   62;   61;   65;   63;   52;    7; 21,1;2;   84;   42;
93;07.03.2015  09:32;   62;   61;   65;   63;   53;    5; 21,1;2;   94;   47;
94;07.03.2015  10:32;   62;   61;   66;   64;   53;    4; 21,1;2;  104;   52;
95;07.03.2015  11:32;   63;   62;   66;   64;   54;    2; 21,1;2;  114;   57;
96;07.03.2015  12:32;   63;   62;   66;   65;   55;    0; 21,1;2;  124;   62;
97;07.03.2015  13:32;   63;   62;   67;   65;   55;    0; 21,1;2;  134;   67;
98;07.03.2015  14:32;   63;   63;   67;   66;   56;    0; 21,1;2;  144;   72;
99;07.03.2015  15:32;   63;   63;   67;   66;   57;    0; 21,1;2;  154;   77;
100;07.03.2015  16:32;   63;   63;   68;   67;   58;    0; 21,1;2;  164;   82;
