Company :
* Text *
* Text *

Stack- name: BC_12_HEAP
Filename : Z:\DATA\BC_12_HEAP_11-4-2015.CSV

First data download at: 11/17/2015
 ;Date/Time;T5;T4;T3;T2;T1; Ref mark; O2[vol%];Mode;Blower time ;Blower cycles
1;04.11.2015  14:56;   22;   26;   28;   28;   28;  100; 12,7;2;    1;    0;
2;04.11.2015  15:56;   23;   28;   30;   32;   31;  100; 12,6;2;   11;    5;
3;04.11.2015  16:56;   25;   29;   31;   33;   32;  100; 12,6;2;   21;   10;
4;04.11.2015  17:56;   26;   30;   33;   35;   33;  100; 12,7;2;   31;   15;
5;04.11.2015  18:56;   28;   31;   35;   36;   34;  100; 12,6;2;   41;   20;
6;04.11.2015  19:56;   30;   33;   37;   39;   35;  100; 12,6;2;   51;   25;
7;04.11.2015  20:56;   32;   35;   40;   41;   37;  100; 12,6;2;   61;   30;
8;04.11.2015  21:56;   34;   38;   42;   43;   38;  100; 12,6;2;   71;   35;
9;04.11.2015  22:56;   37;   41;   45;   45;   40;  100; 12,7;2;   81;   40;
10;04.11.2015  23:56;   41;   44;   47;   47;   42;  100; 12,6;2;   91;   45;
11;04.11.2015  23:59;   41;   44;   47;   47;   42;  100; 12,6;2;   92;   46;
12;05.11.2015  00:56;   44;   46;   49;   48;   43;  100; 12,6;2;    9;    4;
13;05.11.2015  01:56;   48;   48;   51;   50;   45;  100; 12,6;2;   19;    9;
14;05.11.2015  02:56;   50;   50;   53;   51;   47;  100; 12,6;2;   29;   14;
15;05.11.2015  03:56;   53;   52;   54;   53;   48;  100; 12,6;2;   39;   19;
16;05.11.2015  04:56;   55;   54;   56;   54;   49;  100; 12,7;2;   49;   24;
17;05.11.2015  05:56;   58;   56;   57;   55;   50;   26; 12,6;2;   59;   29;
18;05.11.2015  06:56;   60;   59;   59;   56;   51;   20; 12,6;2;   69;   34;
19;05.11.2015  07:56;   62;   62;   61;   58;   52;   12; 12,6;2;   79;   39;
20;05.11.2015  12:09;   39;   45;   28;   20;   20;  100; 12,7;2;   80;   40;
21;05.11.2015  13:09;   57;   59;   39;   19;   20;   70; 12,6;2;   90;   45;
22;05.11.2015  14:09;   60;   60;   41;   20;   20;   68; 12,6;2;  100;   50;
23;05.11.2015  15:09;   61;   61;   41;   20;   21;   67; 12,6;2;  110;   55;
24;05.11.2015  16:09;   63;   61;   42;   21;   21;   67; 12,6;2;  120;   60;
25;05.11.2015  17:09;   65;   62;   43;   22;   22;   65; 12,6;2;  130;   65;
26;05.11.2015  18:09;   67;   64;   44;   23;   23;   63; 12,6;2;  140;   70;
