Date;T5;T4;T3;T2;T1
15.01.2016  15:02;28;43;38;32;21
15.01.2016  16:02;33;47;53;39;26
15.01.2016  17:02;34;45;55;46;29
15.01.2016  18:02;35;45;55;53;33
15.01.2016  19:02;35;45;54;58;38
15.01.2016  20:02;37;46;55;60;42
15.01.2016  21:02;40;48;57;62;46
15.01.2016  22:02;42;50;59;65;51
15.01.2016  23:02;44;52;60;67;56
15.01.2016  23:59;46;54;62;68;60
16.01.2016  00:02;46;54;61;68;60
16.01.2016  01:02;47;56;63;70;64
16.01.2016  02:02;49;57;64;71;68
16.01.2016  03:02;50;59;65;72;70
16.01.2016  04:02;51;60;66;72;72
16.01.2016  05:02;52;61;67;73;73
16.01.2016  06:02;53;62;67;73;73
16.01.2016  07:02;54;63;68;74;74
16.01.2016  08:02;55;64;69;74;75
16.01.2016  09:02;55;64;69;74;75
16.01.2016  10:02;55;65;70;75;76
16.01.2016  11:02;56;65;70;75;76
16.01.2016  12:02;56;66;70;75;77
16.01.2016  13:02;56;66;70;75;77
16.01.2016  14:02;56;66;70;76;78
16.01.2016  15:02;55;66;70;76;78
16.01.2016  16:02;55;66;70;76;78
16.01.2016  17:02;55;66;70;76;78
16.01.2016  18:02;55;66;70;76;78
16.01.2016  19:02;48;62;67;73;77
16.01.2016  20:02;42;57;63;70;75
16.01.2016  21:02;39;54;60;68;73
16.01.2016  22:02;35;50;57;65;70
16.01.2016  23:02;33;47;54;63;68
16.01.2016  23:59;30;44;52;61;67
17.01.2016  00:02;30;44;51;61;66
17.01.2016  01:02;28;42;49;59;65
17.01.2016  02:02;26;39;47;56;62
17.01.2016  03:02;25;38;46;56;62
17.01.2016  04:02;26;37;46;57;62
17.01.2016  05:02;26;37;46;57;63
17.01.2016  06:02;26;37;45;58;63
17.01.2016  07:02;26;36;45;58;64
17.01.2016  08:02;26;36;45;58;65
17.01.2016  09:02;26;36;45;59;65
17.01.2016  10:02;26;36;45;59;66
17.01.2016  11:02;26;35;45;59;66
17.01.2016  12:02;26;35;45;60;67
17.01.2016  13:02;26;35;45;60;67
17.01.2016  14:02;26;35;45;60;67
17.01.2016  15:02;26;35;45;60;67
17.01.2016  16:02;26;35;45;60;67
17.01.2016  17:02;26;35;44;60;67
17.01.2016  18:02;26;35;44;60;67
17.01.2016  19:02;26;35;44;60;66
17.01.2016  20:02;26;35;44;60;66
17.01.2016  21:02;27;35;44;60;66
17.01.2016  22:02;27;35;44;59;66
17.01.2016  23:02;27;35;44;59;66
17.01.2016  23:59;27;35;44;59;66
18.01.2016  00:02;27;35;44;59;66
18.01.2016  01:02;27;35;44;59;66
18.01.2016  02:02;27;35;44;59;66
18.01.2016  03:02;27;35;44;59;66
18.01.2016  04:02;27;35;44;59;65
18.01.2016  05:02;27;35;44;59;65
18.01.2016  06:02;27;35;44;59;65
18.01.2016  07:02;27;35;44;59;65
18.01.2016  08:02;27;35;44;59;65
18.01.2016  09:02;27;35;44;59;65
18.01.2016  10:02;26;35;44;58;65
18.01.2016  11:02;26;35;43;58;64
18.01.2016  12:02;26;35;43;58;64
18.01.2016  13:02;22;33;39;50;58
18.01.2016  14:02;20;30;37;47;55
18.01.2016  15:02;19;29;35;45;53
18.01.2016  16:02;17;27;33;43;50
18.01.2016  17:02;16;25;32;42;48
18.01.2016  18:02;14;24;30;40;46
18.01.2016  19:02;13;23;29;39;45
18.01.2016  20:02;12;21;27;37;43
18.01.2016  21:02;11;20;26;35;42
18.01.2016  22:02;10;19;25;34;40
18.01.2016  23:02;9;18;24;33;40
18.01.2016  23:59;8;17;23;31;38
